key	slug	source_url
best-client-portal-software/hero	best-client-portal-software	https://automaticnation.com/wp-content/uploads/2025/10/article-image-aefea994-b972-46cb-a21e-373388e756c7.jpg
best-crm-for-small-business/hero	best-crm-for-small-business	https://automaticnation.com/wp-content/uploads/2025/10/article-image-dc7f2ad9-08d7-4983-bd1a-a3c3975544d9.jpg
what-is-workflow-automation/hero	what-is-workflow-automation	https://automaticnation.com/wp-content/uploads/2025/10/article-image-d01ab3f1-64e7-4bc9-8ff9-f724aea5f4b5.jpg
streamline-procurement-like-a-pro-how-airtable-transforms-purchase-workflows/hero	streamline-procurement-like-a-pro-how-airtable-transforms-purchase-workflows	https://automaticnation.com/wp-content/uploads/2025/10/image-2.png
a-guide-to-more-accurate-date-differences-in-airtable/01	a-guide-to-more-accurate-date-differences-in-airtable	https://automaticnation.com/wp-content/uploads/2025/07/Screenshot-2025-07-24-at-9.05.16%E2%80%AFAM-300x191.png
a-guide-to-more-accurate-date-differences-in-airtable/02	a-guide-to-more-accurate-date-differences-in-airtable	https://automaticnation.com/wp-content/uploads/2025/07/Screenshot-2025-07-24-at-9.09.12%E2%80%AFAM-197x300.png
enhancing-flexibility-in-airtable-with-autopopulating-date-fields/01	enhancing-flexibility-in-airtable-with-autopopulating-date-fields	https://automaticnation.com/wp-content/uploads/2025/07/Screenshot-2025-07-16-at-4.40.59%E2%80%AFPM-282x300.png
enhancing-airtable-with-custom-features-a-practical-guide/hero	enhancing-airtable-with-custom-features-a-practical-guide	https://automaticnation.com/wp-content/uploads/2025/04/thumbnail-tamper.webp
fillout-forms-vs-airtable-forms-which-one-should-you-use-with-airtable/hero	fillout-forms-vs-airtable-forms-which-one-should-you-use-with-airtable	https://automaticnation.com/wp-content/uploads/2025/04/filloutimage.png
what-automation-tool-suits-your-business/hero	what-automation-tool-suits-your-business	https://automaticnation.com/wp-content/uploads/2025/04/automationttol.png
best-practices-for-building-airtable-interfaces/hero	best-practices-for-building-airtable-interfaces	https://automaticnation.com/wp-content/uploads/2025/03/5FC82E4B-81CF-4955-A8A6-ADBC65B27858.png
airtables-ai-field-a-quick-guide/03	airtables-ai-field-a-quick-guide	https://framerusercontent.com/images/BlwHVaJ4Bl4IN4i2UjDe5ORuI.png
airtables-ai-field-a-quick-guide/04	airtables-ai-field-a-quick-guide	https://framerusercontent.com/images/UYPu5AkqRNbKQdD1XWXRnPSP4Ew.png
airtables-ai-field-a-quick-guide/hero	airtables-ai-field-a-quick-guide	https://automaticnation.com/wp-content/uploads/2025/02/313813BE-754E-421A-A7E3-11B0E9BF4B6F.png
airtables-rollup-field-a-quick-guide/01	airtables-rollup-field-a-quick-guide	https://framerusercontent.com/images/FBrSizwkh1PCxkCzmwrkPicuU.png
airtables-rollup-field-a-quick-guide/02	airtables-rollup-field-a-quick-guide	https://framerusercontent.com/images/Mz6x35x9pAh0sUv711eXUoyDGk.png
airtables-rollup-field-a-quick-guide/03	airtables-rollup-field-a-quick-guide	https://framerusercontent.com/images/2v0G9UGsl4MkiMrVQs5zasOWTMM.png
airtables-rollup-field-a-quick-guide/04	airtables-rollup-field-a-quick-guide	https://framerusercontent.com/images/Xba54xo6pWzORdhZ0P0hg9Tg.png
airtables-rollup-field-a-quick-guide/05	airtables-rollup-field-a-quick-guide	https://framerusercontent.com/images/RnLbZ91oiuXIdHu9VOl9HkPKJNs.png
airtables-rollup-field-a-quick-guide/06	airtables-rollup-field-a-quick-guide	https://framerusercontent.com/images/wzvcUFgUZOHZTufz1YoqkHanFVM.png
airtables-rollup-field-a-quick-guide/07	airtables-rollup-field-a-quick-guide	https://framerusercontent.com/images/K5IPwzCIoz2f5RDZcjBsIP5Wvmg.png
airtables-rollup-field-a-quick-guide/hero	airtables-rollup-field-a-quick-guide	https://automaticnation.com/wp-content/uploads/2025/02/rollupguide.png
airtable-automation-limits-what-you-need-to-know/hero	airtable-automation-limits-what-you-need-to-know	https://automaticnation.com/wp-content/uploads/2025/01/34F2F49B-24A3-4D95-BBAE-F2C177103CEB.png
airtables-views-a-quick-guide/hero	airtables-views-a-quick-guide	https://automaticnation.com/wp-content/uploads/2025/01/viewsguide.png
airtables-grouping-feature-a-quick-guide/01	airtables-grouping-feature-a-quick-guide	https://framerusercontent.com/images/r5lsEUKr5sFUsKMpoqO1msR9yjY.png
airtables-grouping-feature-a-quick-guide/hero	airtables-grouping-feature-a-quick-guide	https://automaticnation.com/wp-content/uploads/2025/01/groupingguide.png
airtables-lookup-field-a-quick-guide/hero	airtables-lookup-field-a-quick-guide	https://automaticnation.com/wp-content/uploads/2025/01/lookupguide.png
airtables-count-field-how-to-use-it-and-why-its-a-game-changer/01	airtables-count-field-how-to-use-it-and-why-its-a-game-changer	https://framerusercontent.com/images/Oa1I9LaTOMyXLhX5lU1SgVgtju0.png
airtables-count-field-how-to-use-it-and-why-its-a-game-changer/hero	airtables-count-field-how-to-use-it-and-why-its-a-game-changer	https://automaticnation.com/wp-content/uploads/2025/01/countguide.png
how-marketing-agencies-can-leverage-airtable-to-streamline-their-business/01	how-marketing-agencies-can-leverage-airtable-to-streamline-their-business	https://automaticnation.com/wp-content/uploads/2025/03/fCCPYmlZpUhHpl6fD65SHG1PSHo.avif
